Eveniment,Mesaj
Eveniment,"[COLIZIUNE CRITICA] Vehiculul 1 s-a ciocnit cu 3!"
Eveniment,"[COLIZIUNE CRITICA] Vehiculul 1 s-a ciocnit cu 3!"
Eveniment,"[COLIZIUNE CRITICA] Vehiculul 1 s-a ciocnit cu 3!"
Eveniment,"[COLIZIUNE CRITICA] Vehiculul 1 s-a ciocnit cu 3!"
Eveniment,"[SEMAFOR] Culorile semafoarelor au fost alternate."
Eveniment,"[COLIZIUNE CRITICA] Vehiculul 1 s-a ciocnit cu 3!"
Eveniment,"[COLIZIUNE CRITICA] Vehiculul 1 s-a ciocnit cu 3!"
Eveniment,"[COLIZIUNE CRITICA] Vehiculul 1 s-a ciocnit cu 3!"
Eveniment,"[COLIZIUNE CRITICA] Vehiculul 1 s-a ciocnit cu 3!"
Eveniment,"[SEMAFOR] Culorile semafoarelor au fost alternate."
Eveniment,"[COLIZIUNE CRITICA] Vehiculul 1 s-a ciocnit cu 3!"
Eveniment,"[COLIZIUNE CRITICA] Vehiculul 1 s-a ciocnit cu 3!"
Eveniment,"[COLIZIUNE CRITICA] Vehiculul 1 s-a ciocnit cu 3!"
Eveniment,"[COLIZIUNE CRITICA] Vehiculul 1 s-a ciocnit cu 3!"
Eveniment,"[SEMAFOR] Culorile semafoarelor au fost alternate."
Eveniment,"[COLIZIUNE CRITICA] Vehiculul 1 s-a ciocnit cu 3!"
Eveniment,"[COLIZIUNE CRITICA] Vehiculul 1 s-a ciocnit cu 3!"
Eveniment,"[COLIZIUNE CRITICA] Vehiculul 1 s-a ciocnit cu 3!"
Eveniment,"[COLIZIUNE CRITICA] Vehiculul 1 s-a ciocnit cu 3!"
Eveniment,"[SEMAFOR] Culorile semafoarelor au fost alternate."
Eveniment,"[COLIZIUNE CRITICA] Vehiculul 1 s-a ciocnit cu 3!"
Eveniment,"[COLIZIUNE CRITICA] Vehiculul 1 s-a ciocnit cu 3!"
Eveniment,"[COLIZIUNE CRITICA] Vehiculul 1 s-a ciocnit cu 3!"
Eveniment,"[COLIZIUNE CRITICA] Vehiculul 1 s-a ciocnit cu 3!"
Eveniment,"[SEMAFOR] Culorile semafoarelor au fost alternate."
Eveniment,"[SEMAFOR] Schimbare de faza rutiere detectata automat."
Eveniment,"[SEMAFOR] Schimbare de faza rutiere detectata automat."
Eveniment,"[SEMAFOR] Schimbare de faza rutiere detectata automat."
Eveniment,"[SEMAFOR] Schimbare de faza rutiere detectata automat."
Eveniment,"[SEMAFOR] Schimbare de faza rutiere detectata automat."
Eveniment,"[SEMAFOR] Schimbare de faza rutiere detectata automat."
Eveniment,"[SEMAFOR] Schimbare de faza rutiere detectata automat."
Eveniment,"[SEMAFOR] Schimbare de faza rutiere detectata automat."
Eveniment,"[SEMAFOR] Schimbare de faza rutiere detectata automat."
Eveniment,"[SEMAFOR] Schimbare de faza rutiere detectata automat."
Eveniment,"[SEMAFOR] Schimbare de faza rutiere detectata automat."
Eveniment,"[SEMAFOR] Schimbare de faza rutiere detectata automat."
Eveniment,"[SEMAFOR] Schimbare de faza rutiere detectata automat."
Eveniment,"[SEMAFOR] Schimbare de faza rutiere detectata automat."
Eveniment,"[SEMAFOR] Schimbare de faza rutiere detectata automat."
